,テキスト,部,章,章（ラベル）,テキスト_形態素
0,　私はその人を常に先生と呼んでいた。だからここでもただ先生と書くだけで本名は打ち明けない。これは世間を憚かる遠慮というよりも、その方が私にとって自然だからである。私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる。筆を執っても心持は同じ事である。よそよそしい頭文字などはとても使う気にならない。,[1]上＿先生と私,1_01,上・一,"['私', 'は', 'その', '人', 'を', '常に', '先生', 'と', '呼ぶ', 'で', 'いる', 'た', 'だから', 'ここ', 'でも', 'ただ', '先生', 'と', '書く', 'だけ', 'で', '本名', 'は', '打ち明ける', 'ない', 'これ', 'は', '世間', 'を', '憚', 'かる', '遠慮', 'と', 'いう', 'より', 'も', 'その', '方', 'が', '私', 'にとって', '自然', 'だ', 'から', 'だ', 'ある', '私', 'は', 'その', '人', 'の', '記憶', 'を', '呼ぶ', '起す', 'ごと', 'に', 'すぐ', '先生', 'と', 'いう', 'たい', 'なる', '筆', 'を', '執る', 'て', 'も', '心持', 'は', '同じ', '事', 'だ', 'ある', 'よそよそしい', '頭文字', 'など', 'は', 'とても', '使う', '気', 'に', 'なる', 'ない']"
1,　私が先生と知り合いになったのは鎌倉である。その時私はまだ若々しい書生であった。暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。私は金の工面に二、三日を費やした。ところが私が鎌倉に着いて三日と経たないうちに、私を呼び寄せた友達は、急に国元から帰れという電報を受け取った。電報には母が病気だからと断ってあったけれども友達はそれを信じなかった。友達はかねてから国元にいる親たちに勧まない結婚を強いられていた。彼は現代の習慣からいうと結婚するにはあまり年が若過ぎた。それに肝心の当人が気に入らなかった。それで夏休みに当然帰るべきところを、わざと避けて東京の近くで遊んでいたのである。彼は電報を私に見せてどうしようと相談をした。私にはどうしていいか分らなかった。けれども実際彼の母が病気であるとすれば彼は固より帰るべきはずであった。それで彼はとうとう帰る事になった。せっかく来た私は一人取り残された。,[1]上＿先生と私,1_01,上・一,"['私', 'が', '先生', 'と', '知り合い', 'に', 'なる', 'た', 'の', 'は', '鎌倉', 'だ', 'ある', 'その', '時', '私', 'は', 'まだ', '若々しい', '書生', 'だ', 'ある', 'た', '暑中', '休暇', 'を', '利用', 'する', 'て', '海水浴', 'に', '行く', 'た', '友達', 'から', 'ぜひ', '来る', 'という', '端書', 'を', '受け取る', 'た', 'ので', '私', 'は', '多少', 'の', '金', 'を', '工面', 'する', 'て', '出掛ける', '事', 'に', 'する', 'た', '私', 'は', '金', 'の', '工面', 'に', '二', '三', '日', 'を', '費やす', 'た', 'ところが', '私', 'が', '鎌倉', 'に', '着く', 'て', '三', '日', 'と', '経つ', 'ない', 'うち', 'に', '私', 'を', '呼び寄せる', 'た', '友達', 'は', '急', 'に', '国元', 'から', '帰る', 'という', '電報', 'を', '受け取る', 'た', '電報', 'に', 'は', '母', 'が', '病気', 'だ', 'から', 'と', '断る', 'て', 'ある', 'た', 'けれども', '友達', 'は', 'それ', 'を', '信じる', 'ない', 'た', '友達', 'は', 'かねる', 'て', 'から', '国元', 'に', 'いる', '親', 'たち', 'に', '勧', 'ま', 'ない', '結婚', 'を', '強いる', 'られる', 'て', 'いる', 'た', '彼', 'は', '現代', 'の', '習慣', 'から', 'いう', 'と', '結婚', 'する', 'に', 'は', 'あまり', '年', 'が', '若い', '過ぎる', 'た', 'それ', 'に', '肝心', 'の', '当人', 'が', '気に入る', 'ない', 'た', 'それで', '夏休み', 'に', '当然', '帰る', 'べし', 'ところ', 'を', 'わざと', '避ける', 'て', '東京', 'の', '近く', 'で', '遊ぶ', 'で', 'いる', 'た', 'の', 'だ', 'ある', '彼', 'は', '電報', 'を', '私', 'に', '見せる', 'て', 'どう', 'する', 'う', 'と', '相談', 'を', 'する', 'た', '私', 'に', 'は', 'どうして', 'いい', 'か', '分る', 'ない', 'た', 'けれども', '実際', '彼', 'の', '母', 'が', '病気', 'だ', 'ある', 'と', 'する', 'ば', '彼', 'は', '固い', 'より', '帰る', 'べし', 'はず', 'だ', 'ある', 'た', 'それで', '彼', 'は', 'とうとう', '帰る', '事', 'に', 'なる', 'た', 'せっかく', '来る', 'た', '私', 'は', '一', '人', '取り残す', 'れる', 'た']"
2,　学校の授業が始まるにはまだ大分日数があるので鎌倉におってもよし、帰ってもよいという境遇にいた私は、当分元の宿に留まる覚悟をした。友達は中国のある資産家の息子で金に不自由のない男であったけれども、学校が学校なのと年が年なので、生活の程度は私とそう変りもしなかった。したがって一人ぼっちになった私は別に恰好な宿を探す面倒ももたなかったのである。,[1]上＿先生と私,1_01,上・一,"['学校', 'の', '授業', 'が', '始まる', 'に', 'は', 'まだ', '大分', '日数', 'が', 'ある', 'ので', '鎌倉', 'に', 'おる', 'て', 'も', 'よい', '帰る', 'て', 'も', 'よい', 'という', '境遇', 'に', 'いる', 'た', '私', 'は', '当分', '元', 'の', '宿', 'に', '留まる', '覚悟', 'を', 'する', 'た', '友達', 'は', '中国', 'の', 'ある', '資産', '家', 'の', '息子', 'で', '金', 'に', '不自由', 'の', 'ない', '男', 'だ', 'ある', 'た', 'けれども', '学校', 'が', '学校', 'だ', 'の', 'と', '年', 'が', '年', 'だ', 'ので', '生活', 'の', '程度', 'は', '私', 'と', 'そう', '変り', 'も', 'する', 'ない', 'た', 'したがって', '一人ぼっち', 'に', 'なる', 'た', '私', 'は', '別に', '恰好', 'だ', '宿', 'を', '探す', '面倒', 'も', 'もつ', 'ない', 'た', 'の', 'だ', 'ある']"
3,　宿は鎌倉でも辺鄙な方角にあった。玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で行っても二十銭は取られた。けれども個人の別荘はそこここにいくつでも建てられていた。それに海へはごく近いので海水浴をやるには至極便利な地位を占めていた。,[1]上＿先生と私,1_01,上・一,"['宿', 'は', '鎌倉', 'で', 'も', '辺鄙', 'だ', '方角', 'に', 'ある', 'た', '玉突き', 'だの', 'アイスクリーム', 'だ', 'の', 'という', 'ハイカラ', 'だ', 'もの', 'に', 'は', '長い', '畷', 'を', '一つ', '越す', 'ない', 'ば', '手', 'が', '届く', 'ない', 'た', '車', 'で', '行う', 'て', 'も', '二', '十', '銭', 'は', '取る', 'れる', 'た', 'けれども', '個人', 'の', '別荘', 'は', 'そこ', 'ここ', 'に', 'いくつ', 'でも', '建てる', 'られる', 'て', 'いる', 'た', 'それ', 'に', '海', 'へ', 'は', 'ごく', '近い', 'ので', '海水浴', 'を', 'やる', 'に', 'は', '至極', '便利', 'だ', '地位', 'を', '占める', 'て', 'いる', 'た']"
4,　私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった。その中に知った人を一人ももたない私も、こういう賑やかな景色の中に裹まれて、砂の上に寝そべってみたり、膝頭を波に打たしてそこいらを跳ね廻るのは愉快であった。,[1]上＿先生と私,1_01,上・一,"['私', 'は', '毎日', '海', 'へ', 'はいる', 'に', '出掛ける', 'た', '古い', '燻', 'ぶり', '返る', 'た', '藁葺', 'の', '間', 'を', '通り抜ける', 'て', '磯', 'へ', '下りる', 'と', 'この', '辺', 'に', 'これ', 'ほど', 'の', '都会', '人種', 'が', '住む', 'で', 'いる', 'か', 'と', '思う', 'ほど', '避暑', 'に', '来る', 'た', '男', 'や', '女', 'で', '砂', 'の', '上', 'が', '動く', 'て', 'いる', 'た', 'ある', '時', 'は', '海', 'の', '中', 'が', '銭湯', 'の', 'よう', 'に', '黒い', '頭', 'で', 'ごちゃごちゃ', 'する', 'て', 'いる', '事', 'も', 'ある', 'た', 'その', '中', 'に', '知る', 'た', '人', 'を', '一', '人', 'も', 'もつ', 'ない', '私', 'も', 'こういう', '賑やか', 'だ', '景色', 'の', '中', 'に', '裹', 'まれ', 'て', '砂', 'の', '上', 'に', '寝そべる', 'て', 'みる', 'たり', '膝頭', 'を', '波', 'に', '打つ', 'す', 'て', 'そこ', 'いる', 'ら', 'を', '跳ねる', '廻る', 'の', 'は', '愉快', 'だ', 'ある', 'た']"
5,　私は実に先生をこの雑沓の間に見付け出したのである。その時海岸には掛茶屋が二軒あった。私はふとした機会からその一軒の方に行き慣れていた。長谷辺に大きな別荘を構えている人と違って、各自に専有の着換場を拵えていないここいらの避暑客には、ぜひともこうした共同着換所といった風なものが必要なのであった。彼らはここで茶を飲み、ここで休息する外に、ここで海水着を洗濯させたり、ここで鹹はゆい身体を清めたり、ここへ帽子や傘を預けたりするのである。海水着を持たない私にも持物を盗まれる恐れはあったので、私は海へはいるたびにその茶屋へ一切を脱ぎ棄てる事にしていた。,[1]上＿先生と私,1_01,上・一,"['私', 'は', '実に', '先生', 'を', 'この', '雑沓', 'の', '間', 'に', '見付ける', '出す', 'た', 'の', 'だ', 'ある', 'その', '時', '海岸', 'に', 'は', '掛茶屋', 'が', '二', '軒', 'ある', 'た', '私', 'は', 'ふとした', '機会', 'から', 'その', '一', '軒', 'の', '方', 'に', '行く', '慣れる', 'て', 'いる', 'た', '長谷', '辺', 'に', '大きな', '別荘', 'を', '構える', 'て', 'いる', '人', 'と', '違う', 'て', '各自', 'に', '専有', 'の', '着', '換場', 'を', '拵える', 'て', 'いる', 'ない', 'ここいら', 'の', '避暑', '客', 'に', 'は', 'ぜひとも', 'こうした', '共同', '着', '換所', 'といった', '風', 'だ', 'もの', 'が', '必要', 'だ', 'の', 'だ', 'ある', 'た', '彼ら', 'は', 'ここ', 'で', '茶', 'を', '飲む', 'ここ', 'で', '休息', 'する', '外', 'に', 'ここ', 'で', '海水', '着', 'を', '洗濯', 'する', 'せる', 'たり', 'ここ', 'で', '鹹', 'は', 'ゆう', '身体', 'を', '清める', 'たり', 'ここ', 'へ', '帽子', 'や', '傘', 'を', '預ける', 'たり', 'する', 'の', 'だ', 'ある', '海水', '着', 'を', '持つ', 'ない', '私', 'に', 'も', '持物', 'を', '盗む', 'れる', '恐れ', 'は', 'ある', 'た', 'ので', '私', 'は', '海', 'へ', 'は', 'いる', 'たび', 'に', 'その', '茶屋', 'へ', '一切', 'を', '脱ぐ', '棄てる', '事', 'に', 'する', 'て', 'いる', 'た']"
6,　私がその掛茶屋で先生を見た時は、先生がちょうど着物を脱いでこれから海へ入ろうとするところであった。私はその時反対に濡れた身体を風に吹かして水から上がって来た。二人の間には目を遮る幾多の黒い頭が動いていた。特別の事情のない限り、私はついに先生を見逃したかも知れなかった。それほど浜辺が混雑し、それほど私の頭が放漫であったにもかかわらず、私がすぐ先生を見付け出したのは、先生が一人の西洋人を伴れていたからである。,[1]上＿先生と私,1_02,上・二,"['私', 'が', 'その', '掛茶屋', 'で', '先生', 'を', '見る', 'た', '時', 'は', '先生', 'が', 'ちょうど', '着物', 'を', '脱ぐ', 'で', 'これから', '海', 'へ', '入ろう', 'と', 'する', 'ところ', 'だ', 'ある', 'た', '私', 'は', 'その', '時', '反対', 'に', '濡れる', 'た', '身体', 'を', '風', 'に', '吹かす', 'て', '水', 'から', '上がる', 'て', '来る', 'た', '二', '人', 'の', '間', 'に', 'は', '目', 'を', '遮る', '幾多', 'の', '黒い', '頭', 'が', '動く', 'て', 'いる', 'た', '特別', 'の', '事情', 'の', 'ない', '限り', '私', 'は', 'ついに', '先生', 'を', '見逃す', 'た', 'かも', '知れる', 'ない', 'た', 'それほど', '浜辺', 'が', '混雑', 'する', 'それほど', '私', 'の', '頭', 'が', '放漫', 'だ', 'ある', 'た', 'に', 'も', 'かかわる', 'ぬ', '私', 'が', 'すぐ', '先生', 'を', '見付ける', '出す', 'た', 'の', 'は', '先生', 'が', '一', '人', 'の', '西洋', '人', 'を', '伴', 'れる', 'て', 'いる', 'た', 'から', 'だ', 'ある']"
7,　その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。彼は我々の穿く猿股一つの外何物も肌に着けていなかった。私にはそれが第一不思議だった。私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。私の尻をおろした所は少し小高い丘の上で、そのすぐ傍がホテルの裏口になっていたので、私の凝としている間に、大分多くの男が塩を浴びに出て来たが、いずれも胴と腕と股は出していなかった。女は殊更肉を隠しがちであった。大抵は頭に護謨製の頭巾を被って、海老茶や紺や藍の色を波間に浮かしていた。そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,[1]上＿先生と私,1_02,上・二,"['その', '西洋', '人', 'の', '優れる', 'て', '白い', '皮膚', 'の', '色', 'が', '掛茶屋', 'へ', '入る', 'や', '否', 'や', 'すぐ', '私', 'の', '注意', 'を', '惹く', 'た', '純粋', 'の', '日本', 'の', '浴衣', 'を', '着る', 'て', 'いる', 'た', '彼', 'は', 'それ', 'を', '床几', 'の', '上', 'に', 'する', 'ぽい', 'り', 'と', '放り出す', 'た', 'まま', '腕組み', 'を', 'する', 'て', '海', 'の', '方', 'を', '向く', 'て', '立つ', 'て', 'いる', 'た', '彼', 'は', '我々', 'の', '穿く', '猿股', '一つ', 'の', '外', '何', '物', 'も', '肌', 'に', '着ける', 'て', 'いる', 'ない', 'た', '私', 'に', 'は', 'それ', 'が', '第', '一', '不思議', 'だ', 'た', '私', 'は', 'その', '二', '日', '前', 'に', '由井', 'が', '浜', 'まで', '行く', 'て', '砂', 'の', '上', 'に', 'しゃがむ', 'ながら', '長い', '間', '西洋', '人', 'の', '海', 'へ', '入る', '様子', 'を', '眺める', 'て', 'いる', 'た', '私', 'の', '尻', 'を', 'おろす', 'た', '所', 'は', '少し', '小高い', '丘', 'の', '上', 'で', 'その', 'すぐ', '傍', 'が', 'ホテル', 'の', '裏口', 'に', 'なる', 'て', 'いる', 'た', 'ので', '私', 'の', '凝る', 'と', 'する', 'て', 'いる', '間', 'に', '大分', '多く', 'の', '男', 'が', '塩', 'を', '浴びる', 'に', '出る', 'て', '来る', 'た', 'が', 'いずれ', 'も', '胴', 'と', '腕', 'と', '股', 'は', '出す', 'て', 'いる', 'ない', 'た', '女', 'は', '殊更', '肉', 'を', '隠す', 'がち', 'だ', 'ある', 'た', '大抵', 'は', '頭', 'に', '護謨', '製', 'の', '頭巾', 'を', '被る', 'て', '海老茶', 'や', '紺', 'や', '藍', 'の', '色', 'を', '波間', 'に', '浮かす', 'て', 'いる', 'た', 'そういう', '有様', 'を', '目撃', 'する', 'た', 'ばかり', 'の', '私', 'の', '眼', 'に', 'は', '猿股', '一つ', 'で', '済ます', 'て', '皆', 'だ', 'の', '前', 'に', '立つ', 'て', 'いる', 'この', '西洋', '人', 'が', 'いかにも', '珍しい', '見える', 'た']"
8,　彼はやがて自分の傍を顧みて、そこにこごんでいる日本人に、一言二言何かいった。その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。その人がすなわち先生であった。,[1]上＿先生と私,1_02,上・二,"['彼', 'は', 'やがて', '自分', 'の', '傍', 'を', '顧みる', 'て', 'そこ', 'に', 'こごむ', 'で', 'いる', '日本人', 'に', '一言', '二', '言', '何', 'か', 'いう', 'た', 'その', '日本人', 'は', '砂', 'の', '上', 'に', '落ちる', 'た', '手拭', 'を', '拾い上げる', 'て', 'いる', 'ところ', 'だ', 'ある', 'た', 'が', 'それ', 'を', '取り上げる', 'や', '否', 'や', 'すぐ', '頭', 'を', '包む', 'で', '海', 'の', '方', 'へ', '歩く', '出す', 'た', 'その', '人', 'が', 'すなわち', '先生', 'だ', 'ある', 'た']"
9,　私は単に好奇心のために、並んで浜辺を下りて行く二人の後姿を見守っていた。すると彼らは真直に波の中に足を踏み込んだ。そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。彼らの頭が小さく見えるまで沖の方へ向いて行った。それから引き返してまた一直線に浜辺まで戻って来た。掛茶屋へ帰ると、井戸の水も浴びずに、すぐ身体を拭いて着物を着て、さっさとどこへか行ってしまった。,[1]上＿先生と私,1_02,上・二,"['私', 'は', '単に', '好奇', '心', 'の', 'ため', 'に', '並ぶ', 'で', '浜辺', 'を', '下りる', 'て', '行く', '二', '人', 'の', '後姿', 'を', '見守る', 'て', 'いる', 'た', 'すると', '彼ら', 'は', '真直', 'に', '波', 'の', '中', 'に', '足', 'を', '踏み込む', 'だ', 'そうして', '遠浅', 'の', '磯', '近く', 'に', 'わいわい', '騒ぐ', 'で', 'いる', '多人数', 'の', '間', 'を', '通り抜ける', 'て', '比較的', '広々', 'する', 'た', '所', 'へ', '来る', 'と', '二', '人', 'とも', '泳ぎ', '出す', 'た', '彼ら', 'の', '頭', 'が', '小さい', '見える', 'まで', '沖', 'の', '方', 'へ', '向く', 'て', '行く', 'た', 'それから', '引き返す', 'て', 'また', '一直線', 'に', '浜辺', 'まで', '戻る', 'て', '来る', 'た', '掛茶屋', 'へ', '帰る', 'と', '井戸', 'の', '水', 'も', '浴びる', 'ぬ', 'に', 'すぐ', '身体', 'を', '拭く', 'て', '着物', 'を', '着る', 'て', 'さっさと', 'どこ', 'へ', 'か', '行く', 'て', 'しまう', 'た']"
